City,Lat_Deg,Lat_Min,Lon_Deg,Lon_Min,Time,Latitude (Decimal),Longitude (Decimal),Time Zone Offset
"Albany, N.Y.",42,40,73,45,12:00 noon,42.666666666666664,-73.75,-5
"Albuquerque, N.M.",35,5,106,39,10:00 a.m.,35.083333333333336,-106.65,-2
"Amarillo, Tex.",35,11,101,50,11:00 a.m.,35.18333333333333,-101.83333333333333,-1
"Anchorage, Alaska",61,13,149,54,8:00 a.m.,61.21666666666667,-149.9,-4
"Atlanta, Ga.",33,45,84,23,12:00 noon,33.75,-84.38333333333334,-5
"Austin, Tex.",30,16,97,44,11:00 a.m.,30.266666666666666,-97.73333333333333,-1
"Baker, Ore.",44,47,117,50,9:00 a.m.,44.78333333333333,-117.83333333333333,-3
"Baltimore, Md.",39,18,76,38,12:00 noon,39.3,-76.63333333333334,-5
"Bangor, Maine",44,48,68,47,12:00 noon,44.8,-68.78333333333333,-5
"Birmingham, Ala.",33,30,86,50,11:00 a.m.,33.5,-86.83333333333333,-1
"Bismarck, N.D.",46,48,100,47,11:00 a.m.,46.8,-100.78333333333333,-1
"Boise, Idaho",43,36,116,13,10:00 a.m.,43.6,-116.21666666666667,-2
"Boston, Mass.",42,21,71,5,12:00 noon,42.35,-71.08333333333333,-5
"Buffalo, N.Y.",42,55,78,50,12:00 noon,42.916666666666664,-78.83333333333333,-5
"Calgary, Alba., Can.",51,1,114,1,10:00 a.m.,51.016666666666666,-114.01666666666667,-2
"Carlsbad, N.M.",32,26,104,15,10:00 a.m.,32.43333333333333,-104.25,-2
"Charleston, S.C.",32,47,79,56,12:00 noon,32.78333333333333,-79.93333333333334,-5
"Charleston, W. Va.",38,21,81,38,12:00 noon,38.35,-81.63333333333334,-5
"Charlotte, N.C.",35,14,80,50,12:00 noon,35.233333333333334,-80.83333333333333,-5
"Cheyenne, Wyo.",41,9,104,52,10:00 a.m.,41.15,-104.86666666666666,-2
"Chicago, Ill.",41,50,87,37,11:00 a.m.,41.833333333333336,-87.61666666666666,-1
"Cincinnati, Ohio",39,8,84,30,12:00 noon,39.13333333333333,-84.5,-5
"Cleveland, Ohio",41,28,81,37,12:00 noon,41.46666666666667,-81.61666666666666,-5
"Columbia, S.C.",34,0,81,2,12:00 noon,34.0,-81.03333333333333,-5
"Columbus, Ohio",40,0,83,1,12:00 noon,40.0,-83.01666666666667,-5
"Dallas, Tex.",32,46,96,46,11:00 a.m.,32.766666666666666,-96.76666666666667,-1
"Denver, Colo.",39,45,105,0,10:00 a.m.,39.75,-105.0,-2
"Des Moines, Iowa",41,35,93,37,11:00 a.m.,41.583333333333336,-93.61666666666666,-1
"Detroit, Mich.",42,20,83,3,12:00 noon,42.333333333333336,-83.05,-5
"Dubuque, Iowa",42,31,90,40,11:00 a.m.,42.516666666666666,-90.66666666666667,-1
"Duluth, Minn.",46,49,92,5,11:00 a.m.,46.81666666666667,-92.08333333333333,-1
